sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,2953,0.99,0.96,437,16,375,3,5,55,0.0009645738337425465,1.0,0.001927288655278143
2,3117,1.00,0.95,442,21,396,0,5,49,0.004312879827484807,1.0,0.008588717548311536
3,3001,0.99,0.96,429,18,375,3,5,51,0.00571712652249565,1.0,0.011369253583786458
4,1208,1.00,1.00,451,0,378,0,1,13,0.0380952380952381,1.0,0.07339449541284404
5,3036,0.99,0.86,389,65,376,2,4,42,0.0017069912423927564,0.9583333333333334,0.0034079122833012296
