sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,806,1.00,0.96,2355,90,2434,5,5,57,0.25263157894736843,0.9696969696969697,0.40083507306889354
2,478,1.00,0.98,2219,47,2253,6,6,62,0.9479768786127167,0.9969604863221885,0.9718518518518519
3,1275,1.00,0.90,2152,247,2390,4,4,40,0.9849624060150376,0.9323843416370107,0.9579524680073126
4,344,1.00,0.98,2278,51,2316,6,6,66,0.6208333333333333,0.9966555183946488,0.7650834403080874
5,434,1.00,0.97,2346,70,2407,5,5,51,1.0,0.976897689768977,0.988313856427379
