sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,104,0.91,0.49,8071,8340,15586,825,4,34,0.9607272727272728,0.9534464092385421,0.9570729940228221
2,149,0.89,0.42,7331,10219,16613,937,4,34,0.8058252427184466,0.9330210772833724,0.864771000651183
3,109,0.89,0.43,7954,10551,17526,979,3,25,0.973384030418251,0.9115727002967359,0.9414649095923997
4,151,0.89,0.45,8024,9984,17006,1002,5,43,0.5649526387009473,0.893048128342246,0.6920845420638211
5,114,0.90,0.48,8361,9097,16530,928,4,34,0.9626696832579186,0.8527054108216433,0.9043570669500531
