sample,sub_sample,result_id,test_precision,test_recall,test_f1
1,1,1,0.8937728937728938,0.9138576779026217,0.9037037037037038
1,1,2,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,1,3,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,1,4,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,5,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,1,6,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,7,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,8,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,9,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,1,10,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,11,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,12,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,13,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,14,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,15,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,16,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,17,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,1,18,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,19,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,20,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,21,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,22,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,23,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,24,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,25,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,26,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,27,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,28,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,29,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,30,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,31,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,32,0.8913857677902621,0.9015151515151515,0.896421845574388
1,1,33,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,1,34,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,35,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,36,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,37,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,38,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,39,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,40,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,41,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,42,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,43,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,44,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,45,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,1,46,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,47,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,1,48,0.8913857677902621,0.9015151515151515,0.896421845574388
1,1,49,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,1,50,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,1,0.8937728937728938,0.9138576779026217,0.9037037037037038
1,2,2,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,2,3,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,2,4,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,5,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,2,6,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,7,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,8,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,9,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,2,10,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,11,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,12,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,13,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,14,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,15,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,16,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,17,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,2,18,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,19,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,20,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,21,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,22,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,23,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,24,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,25,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,26,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,27,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,28,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,29,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,30,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,31,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,32,0.8913857677902621,0.9015151515151515,0.896421845574388
1,2,33,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,2,34,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,35,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,36,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,37,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,38,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,39,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,40,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,41,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,42,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,43,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,44,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,45,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,2,46,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,47,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,2,48,0.8913857677902621,0.9015151515151515,0.896421845574388
1,2,49,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,2,50,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,1,0.8937728937728938,0.9138576779026217,0.9037037037037038
1,3,2,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,3,3,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,3,4,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,5,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,3,6,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,7,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,8,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,9,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,3,10,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,11,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,12,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,13,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,14,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,15,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,16,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,17,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,3,18,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,19,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,20,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,21,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,22,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,23,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,24,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,25,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,26,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,27,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,28,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,29,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,30,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,31,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,32,0.8913857677902621,0.9015151515151515,0.896421845574388
1,3,33,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,3,34,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,35,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,36,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,37,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,38,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,39,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,40,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,41,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,42,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,43,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,44,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,45,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,3,46,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,47,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,3,48,0.8913857677902621,0.9015151515151515,0.896421845574388
1,3,49,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,3,50,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,1,0.8937728937728938,0.9138576779026217,0.9037037037037038
1,4,2,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,4,3,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,4,4,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,5,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,4,6,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,7,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,8,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,9,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,4,10,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,11,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,12,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,13,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,14,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,15,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,16,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,17,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,4,18,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,19,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,20,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,21,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,22,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,23,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,24,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,25,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,26,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,27,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,28,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,29,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,30,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,31,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,32,0.8913857677902621,0.9015151515151515,0.896421845574388
1,4,33,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,4,34,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,35,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,36,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,37,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,38,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,39,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,40,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,41,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,42,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,43,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,44,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,45,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,4,46,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,47,0.8915482423335827,0.9023467070401211,0.8969149736644093
1,4,48,0.8913857677902621,0.9015151515151515,0.896421845574388
1,4,49,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,4,50,0.8918717375093214,0.9040060468631897,0.8978978978978979
1,5,1,0.8937728937728938,0.9138576779026217,0.9037037037037038
1,5,2,0.9003690036900369,0.9138576779026217,0.9070631970260223
1,5,3,0.9057164068299925,0.9138576779026217,0.9097688292319165
1,5,4,0.9072011878247959,0.9146706586826348,0.9109206112560567
1,5,5,0.9003690036900369,0.9138576779026217,0.9070631970260223
1,5,6,0.9063893016344725,0.9138576779026217,0.9101081685938083
1,5,7,0.8996309963099631,0.9134507306107156,0.9064881948317531
1,5,8,0.906507105459985,0.9105935386927122,0.9085457271364317
1,5,9,0.905688622754491,0.9097744360902256,0.9077269317329333
1,5,10,0.8996282527881041,0.9097744360902256,0.9046728971962618
1,5,11,0.8988847583643123,0.9093644227153065,0.9040942232192932
1,5,12,0.8996282527881041,0.9097744360902256,0.9046728971962618
1,5,13,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,5,14,0.9050112191473448,0.9097744360902256,0.9073865766779152
1,5,15,0.9050112191473448,0.9097744360902256,0.9073865766779152
1,5,16,0.9044394281414597,0.9064856711915535,0.9054613935969867
1,5,17,0.8996282527881041,0.9097744360902256,0.9046728971962618
1,5,18,0.8990276738967838,0.9064856711915535,0.9027412692452121
1,5,19,0.906507105459985,0.9105935386927122,0.9085457271364317
1,5,20,0.9059443190368698,0.9073097211755841,0.9066265060240963
1,5,21,0.8988847583643123,0.9093644227153065,0.9040942232192932
1,5,22,0.8982797307404637,0.9060731799321011,0.9021596244131456
1,5,23,0.905688622754491,0.9097744360902256,0.9077269317329333
1,5,24,0.9051204819277109,0.9064856711915535,0.905802562170309
1,5,25,0.8929889298892989,0.9097744360902256,0.9013035381750465
1,5,26,0.8996282527881041,0.9097744360902256,0.9046728971962618
1,5,27,0.8923533778767632,0.9064856711915535,0.8993640104751216
1,5,28,0.8990276738967838,0.9064856711915535,0.9027412692452121
1,5,29,0.8996282527881041,0.9097744360902256,0.9046728971962618
1,5,30,0.906507105459985,0.9105935386927122,0.9085457271364317
1,5,31,0.9059443190368698,0.9073097211755841,0.9066265060240963
