sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,123,1.00,0.60,1472,973,2439,0,2,18,1.0,0.7475728155339806,0.8555555555555555
2,98,1.00,0.89,2014,252,2258,1,3,29,0.965034965034965,0.9517241379310345,0.9583333333333333
3,94,1.00,0.65,1562,837,2393,1,2,18,1.0,0.8198198198198198,0.9009900990099009
4,45,1.00,0.89,2082,247,2320,2,3,27,0.9671052631578947,0.9483870967741935,0.9576547231270358
5,68,1.00,0.66,1595,821,2411,1,2,18,1.0,0.8319327731092437,0.908256880733945
