sample,result_id,test_precision,test_recall,test_f1
1,1,1.0,0.6349206349206349,0.7766990291262136
1,2,1.0,0.6349206349206349,0.7766990291262136
2,1,0.9911504424778761,0.8484848484848485,0.9142857142857144
2,2,0.9911504424778761,0.8484848484848485,0.9142857142857144
2,3,0.9911504424778761,0.8484848484848485,0.9142857142857144
2,4,0.9911504424778761,0.8484848484848485,0.9142857142857144
3,1,1.0,0.7029702970297029,0.8255813953488372
3,2,1.0,0.7029702970297029,0.8255813953488372
4,1,0.975,0.8357142857142857,0.9
4,2,0.975,0.8357142857142857,0.9
5,1,1.0,0.6570048309178744,0.793002915451895
5,2,1.0,0.6570048309178744,0.793002915451895
