sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
2,538,0.91,0.37,6419,11131,16886,664,5,47,1.0,0.7538293216630197,0.859638178415471
1,407,0.91,0.64,10553, 5858, 15331, 1080,17,155,0.6216462028194634,0.9705360312389066,0.7578655578655578
3,559,0.90,0.52,9557,8948,17477,1028,23,215,0.9086809470124013,0.9355774811375508,0.9219330855018587
4,580,0.90,0.41,7425,10583,17172,836,13,125,1.0, 0.9024390243902439, 0.9487179487179488
5,497,0.90,0.36,6299,11159,16755,703,12,118,0.9550224887556222, 0.7149270482603816,0.8177150192554556
