sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,90,0.98,0.74,12083,4328,16411,234,24,214,0.5324980422866092,0.9679715302491103,0.6870421823692852
2,115,0.95,0.56,9748,7802,17550,513,10,88,0.5898801597869507,0.8750617283950617,0.7047126665341023
3,100,1.00,0.68,12628,5877,18505,51,19,169,0.30515097690941384,0.9673423423423423,0.46394815014852825
4,115,0.95,0.53,9629,8379,18008,557,8,70,0.8669833729216152,0.8271954674220963,0.8466222093360394
5,118,1.00,0.68,11824,5634,17458,5,15,137,0.5806845965770171,0.9069212410501193,0.7080305571082541
