sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,68,0.99,0.66,2214,1141,3332,20,5,47,0.9612903225806452,0.7602040816326531,0.8490028490028491
2,69,0.99,0.66,2276,1177,3425,27,5,45,0.8797814207650273,0.8277634961439588,0.8529801324503312
3,70,0.99,0.64,2173,1205,3361,15,5,47,0.9289940828402367,0.8602739726027397,0.8933143669985776
4,64,0.99,0.66,2296,1168,3443,21,5,45,0.8596491228070176,0.8212290502793296,0.84
5,65,0.99,0.66,2301,1191,3468,24,4,36,0.875,0.8259587020648967,0.849772382397572
