sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.9104477611940298,0.6684931506849315,0.7709320695102685
1,2,,,
1,3,0.9104477611940298,0.6684931506849315,0.7709320695102685
1,4,,,
1,5,,,
2,1,0.8913043478260869,0.7008547008547008,0.7846889952153109
2,2,0.8913043478260869,0.7008547008547008,0.7846889952153109
2,3,0.8913043478260869,0.7008547008547008,0.7846889952153109
2,4,0.8913043478260869,0.7008547008547008,0.7846889952153109
2,5,,,
3,1,0.9583333333333334,0.7976878612716763,0.8706624605678234
3,2,0.9583333333333334,0.7976878612716763,0.8706624605678234
3,3,0.9583333333333334,0.7976878612716763,0.8706624605678234
3,4,0.9583333333333334,0.7976878612716763,0.8706624605678234
3,5,0.9583333333333334,0.7976878612716763,0.8706624605678234
4,1,,,
4,2,0.8686131386861314,0.7212121212121212,0.7880794701986756
4,3,,,
4,4,0.8686131386861314,0.7212121212121212,0.7880794701986756
4,5,0.8686131386861314,0.7212121212121212,0.7880794701986756
5,1,0.9912280701754386,0.7243589743589743,0.837037037037037
5,2,0.9912280701754386,0.7243589743589743,0.837037037037037
5,3,,,
5,4,0.9912280701754386,0.7243589743589743,0.837037037037037
5,5,,,
