sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,139,0.91,0.46,7525,8886,15642,769,5,45,0.9750208159866778,0.8935520793590233,0.9325104519211627
2,157,0.90,0.34,5966,11584,16912,638,5,45,1.0,0.6268836648583485,0.7706557984438681
3,133,0.90,0.20,3743,14762,18066,439,4,38,1.0,0.4444444444444444,0.6153846153846153
4,181,0.90,0.29,5161,12847,17424,584,4,38,1.0,0.7030075187969925,0.8256070640176602
5,180,0.91,0.31,5403,12055,16896,562,4,38,1.0,0.5669586983729662,0.7236421725239617
