sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,2204,1.00,1.00,453,0,378,0,1,11,0.41509433962264153,1.0,0.5866666666666668
2,1010,1.00,1.00,463,0,396,0,1,11,0.3793103448275862,1.0,0.5499999999999999
3,2195,1.00,1.00,447,0,378,0,1,11,0.6052631578947368,1.0,0.7540983606557378
4,2018,1.00,1.00,451,0,378,0,1,11,0.2711864406779661,1.0,0.4266666666666667
5,2097,1.00,1.00,454,0,378,0,1,11,0.5208333333333334,1.0,0.684931506849315
