theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
3,0.25,108,0.89,0.43,7643,10182,16841,984,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6252559726962458,0.93900563813429,0.7506658471624668
3,0.2,116,0.89,0.42,7555,10270,16873,952,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6280027453671929,0.9384615384615385,0.752467105263158
3,0.15,138,0.89,0.45,7939,9886,16859,966,4,34,0.85941893158388,0.9333333333333333,0.894852403025128,0.70141065830721,0.927461139896373,0.7987505577867025
3,0.1,183,1.00,0.00,15,17810,17825,0,2,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
3.5,1,38,0.85,0.46,8126,9699,16381,1444,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.3046067063616421,0.968609865470852,0.46346406007867447
3.5,0.6,39,0.85,0.46,8126,9699,16381,1444,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.3046067063616421,0.968609865470852,0.46346406007867447
3.5,0.4,51,0.85,0.46,8173,9652,16354,1471,6,48,0.6110761485210825,0.9618623080733036,0.7473542428324034,0.30781653746770027,0.9587525150905433,0.46601466992665036
3.5,0.25,101,0.89,0.43,7643,10182,16841,984,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6252559726962458,0.93900563813429,0.7506658471624668
3.5,0.2,111,0.89,0.43,7643,10182,16841,984,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6252559726962458,0.93900563813429,0.7506658471624668
3.5,0.15,130,0.89,0.45,7939,9886,16859,966,4,34,0.85941893158388,0.9333333333333333,0.894852403025128,0.70141065830721,0.927461139896373,0.7987505577867025
3.5,0.1,166,1.00,0.00,15,17810,17825,0,3,29,,,,1.0,0.0019305019305019305,0.0038535645472061652
4,1,31,0.85,0.45,8034,9791,16413,1412,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.30505812126924287,0.9680957128614157,0.46392737697085523
4,0.6,32,0.85,0.44,7839,9986,16415,1410,5,39,0.7542304593070105,0.9435483870967742,0.83833407971339,0.33044382801664357,0.9587525150905433,0.49149045899948424
4,0.4,41,0.86,0.45,8101,9724,16459,1366,5,41,0.7745901639344263,0.9483191169091821,0.8526956914053688,0.325895875591616,0.9644822411205602,0.4871762476310803
4,0.25,97,0.89,0.43,7643,10182,16841,984,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6252559726962458,0.93900563813429,0.7506658471624668
4,0.2,120,0.89,0.42,7555,10270,16873,952,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6280027453671929,0.9384615384615385,0.752467105263158
4,0.15,113,0.88,0.37,6614,11211,16928,897,3,25,0.9038262668045501,0.9094693028095734,0.9066390041493776,0.7958950969213227,0.8055395268320831,0.8006882707198165
4,0.1,163,1.00,0.00,15,17810,17825,0,3,29,,,,1.0,0.0019305019305019305,0.0038535645472061652
