sample,result_id,test_precision,test_recall,test_f1
1,1,1.0,0.896918980600989,0.9456587126528976
1,2,1.0,0.8927071401298206,0.9433124873915675
1,3,1.0,0.8927071401298206,0.9433124873915675
1,4,1.0,0.8893144389122941,0.9414149604703019
1,5,1.0,0.8927071401298206,0.9433124873915675
1,6,1.0,0.8893144389122941,0.9414149604703019
1,7,1.0,0.8893144389122941,0.9414149604703019
1,8,1.0,0.8867562380038387,0.9399796541200407
1,9,1.0,0.8927071401298206,0.9433124873915675
1,10,1.0,0.8893144389122941,0.9414149604703019
1,11,1.0,0.8893144389122941,0.9414149604703019
1,12,1.0,0.8867562380038387,0.9399796541200407
1,13,1.0,0.8893144389122941,0.9414149604703019
1,14,1.0,0.8867562380038387,0.9399796541200407
1,15,1.0,0.8867562380038387,0.9399796541200407
1,16,1.0,0.8850442137639369,0.9390169284111768
1,17,1.0,0.8927071401298206,0.9433124873915675
1,18,1.0,0.8893144389122941,0.9414149604703019
1,19,1.0,0.8893144389122941,0.9414149604703019
1,20,1.0,0.8867562380038387,0.9399796541200407
1,21,1.0,0.8893144389122941,0.9414149604703019
1,22,1.0,0.8867562380038387,0.9399796541200407
1,23,1.0,0.8867562380038387,0.9399796541200407
1,24,1.0,0.8850442137639369,0.9390169284111768
1,25,1.0,0.8893144389122941,0.9414149604703019
1,26,1.0,0.8867562380038387,0.9399796541200407
1,27,1.0,0.8867562380038387,0.9399796541200407
1,28,1.0,0.8850442137639369,0.9390169284111768
1,29,1.0,0.8867562380038387,0.9399796541200407
1,30,1.0,0.8850442137639369,0.9390169284111768
1,31,1.0,0.8850442137639369,0.9390169284111768
1,32,1.0,0.8841862254713351,0.9385337962017561
1,33,1.0,0.8927071401298206,0.9433124873915675
1,34,1.0,0.8893144389122941,0.9414149604703019
1,35,1.0,0.8893144389122941,0.9414149604703019
1,36,1.0,0.8867562380038387,0.9399796541200407
1,37,1.0,0.8893144389122941,0.9414149604703019
1,38,1.0,0.8867562380038387,0.9399796541200407
1,39,1.0,0.8867562380038387,0.9399796541200407
1,40,1.0,0.8850442137639369,0.9390169284111768
1,41,1.0,0.8893144389122941,0.9414149604703019
1,42,1.0,0.8867562380038387,0.9399796541200407
1,43,1.0,0.8867562380038387,0.9399796541200407
1,44,1.0,0.8850442137639369,0.9390169284111768
1,45,1.0,0.8867562380038387,0.9399796541200407
1,46,1.0,0.8850442137639369,0.9390169284111768
1,47,1.0,0.8850442137639369,0.9390169284111768
1,48,1.0,0.8841862254713351,0.9385337962017561
1,49,1.0,0.8893144389122941,0.9414149604703019
1,50,1.0,0.8867562380038387,0.9399796541200407
2,1,1.0,0.6755813953488372,0.806384455239417
2,2,1.0,0.6740395809080326,0.8052851182197497
2,3,1.0,0.6740395809080326,0.8052851182197497
2,4,1.0,0.6740395809080326,0.8052851182197497
2,5,1.0,0.669392523364486,0.801959412176347
2,6,1.0,0.669392523364486,0.801959412176347
2,7,1.0,0.669392523364486,0.801959412176347
2,8,1.0,0.6709451575262544,0.803072625698324
2,9,1.0,0.6662763466042154,0.7997189037245256
2,10,1.0,0.669392523364486,0.801959412176347
2,11,1.0,0.6662763466042154,0.7997189037245256
2,12,1.0,0.669392523364486,0.801959412176347
2,13,1.0,0.6662763466042154,0.7997189037245256
2,14,1.0,0.6678362573099416,0.8008415147265077
2,15,1.0,0.669392523364486,0.801959412176347
2,16,1.0,0.6709451575262544,0.803072625698324
2,17,1.0,0.6662763466042154,0.7997189037245256
2,18,1.0,0.6662763466042154,0.7997189037245256
2,19,1.0,0.6662763466042154,0.7997189037245256
2,20,1.0,0.6678362573099416,0.8008415147265077
2,21,1.0,0.669392523364486,0.801959412176347
2,22,1.0,0.669392523364486,0.801959412176347
2,23,1.0,0.669392523364486,0.801959412176347
2,24,1.0,0.6709451575262544,0.803072625698324
2,25,1.0,0.6662763466042154,0.7997189037245256
2,26,1.0,0.6647127784290738,0.7985915492957746
2,27,1.0,0.6662763466042154,0.7997189037245256
2,28,1.0,0.6647127784290738,0.7985915492957746
2,29,1.0,0.6662763466042154,0.7997189037245256
2,30,1.0,0.6678362573099416,0.8008415147265077
2,31,1.0,0.6647127784290738,0.7985915492957746
2,32,1.0,0.6662763466042154,0.7997189037245256
2,33,1.0,0.669392523364486,0.801959412176347
2,34,1.0,0.6662763466042154,0.7997189037245256
2,35,1.0,0.6662763466042154,0.7997189037245256
2,36,1.0,0.6647127784290738,0.7985915492957746
2,37,1.0,0.669392523364486,0.801959412176347
2,38,1.0,0.6662763466042154,0.7997189037245256
2,39,1.0,0.6662763466042154,0.7997189037245256
2,40,1.0,0.6647127784290738,0.7985915492957746
2,41,1.0,0.669392523364486,0.801959412176347
2,42,1.0,0.6709451575262544,0.803072625698324
2,43,1.0,0.6662763466042154,0.7997189037245256
2,44,1.0,0.6678362573099416,0.8008415147265077
2,45,1.0,0.6662763466042154,0.7997189037245256
2,46,1.0,0.6647127784290738,0.7985915492957746
2,47,1.0,0.6678362573099416,0.8008415147265077
2,48,1.0,0.6662763466042154,0.7997189037245256
2,49,1.0,0.6662763466042154,0.7997189037245256
2,50,1.0,0.6647127784290738,0.7985915492957746
3,1,0.9953488372093023,0.6364312267657992,0.7764172335600906
3,2,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,3,0.9953488372093023,0.6364312267657992,0.7764172335600906
3,4,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,5,0.9953271028037384,0.6344005956813105,0.7748976807639837
3,6,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,7,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,8,0.9953271028037384,0.6344005956813105,0.7748976807639837
3,9,0.9953488372093023,0.6364312267657992,0.7764172335600906
3,10,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,11,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,12,0.9953271028037384,0.6344005956813105,0.7748976807639837
3,13,0.9953488372093023,0.6364312267657992,0.7764172335600906
3,14,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,15,0.9953271028037384,0.6344005956813105,0.7748976807639837
3,16,0.9953379953379954,0.6354166666666666,0.7756584922797457
3,17,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,18,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,19,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,20,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,21,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,22,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,23,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,24,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,25,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,26,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,27,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,28,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,29,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,30,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,31,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,32,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,33,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,34,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,35,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,36,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,37,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,38,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,39,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,40,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,41,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,42,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,43,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,44,0.9953051643192489,0.6323639075316928,0.7733698130414958
3,45,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,46,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,47,0.9952941176470588,0.6313432835820896,0.7726027397260274
3,48,0.9952830188679245,0.6303211351755041,0.7718335619570187
3,49,0.995260663507109,0.6282722513089005,0.7702888583218706
3,50,0.9952718676122931,0.6292974588938715,0.7710622710622712
4,1,1.0,0.8238636363636364,0.9034267912772587
4,2,1.0,0.8225255972696246,0.9026217228464419
4,3,1.0,0.826530612244898,0.9050279329608939
4,4,1.0,0.8238636363636364,0.9034267912772587
4,5,1.0,0.8218554354012522,0.9022180568572321
4,6,1.0,0.8245315161839863,0.903828197945845
4,7,1.0,0.8205128205128205,0.9014084507042254
4,8,1.0,0.8218554354012522,0.9022180568572321
4,9,1.0,0.8245315161839863,0.903828197945845
4,10,1.0,0.8218554354012522,0.9022180568572321
4,11,1.0,0.8205128205128205,0.9014084507042254
4,12,1.0,0.8218554354012522,0.9022180568572321
4,13,1.0,0.8205128205128205,0.9014084507042254
4,14,1.0,0.8245315161839863,0.903828197945845
4,15,1.0,0.8218554354012522,0.9022180568572321
4,16,1.0,0.8218554354012522,0.9022180568572321
4,17,1.0,0.8211845102505695,0.9018136335209506
4,18,1.0,0.8211845102505695,0.9018136335209506
4,19,1.0,0.8198403648802737,0.9010025062656641
4,20,1.0,0.8238636363636364,0.9034267912772587
4,21,1.0,0.8211845102505695,0.9018136335209506
4,22,1.0,0.8198403648802737,0.9010025062656641
4,23,1.0,0.8211845102505695,0.9018136335209506
4,24,1.0,0.8238636363636364,0.9034267912772587
4,25,1.0,0.8357705286839145,0.9105392156862745
4,26,1.0,0.8357705286839145,0.9105392156862745
4,27,1.0,0.8344594594594594,0.9097605893186004
4,28,1.0,0.8383838383838383,0.9120879120879121
4,29,1.0,0.836424957841484,0.9109274563820018
4,30,1.0,0.8351153629713,0.9101502606562404
4,31,1.0,0.836424957841484,0.9109274563820018
4,32,1.0,0.839035333707235,0.9124733150350717
4,33,1.0,0.836424957841484,0.9109274563820018
4,34,1.0,0.836424957841484,0.9109274563820018
4,35,1.0,0.8351153629713,0.9101502606562404
4,36,1.0,0.839035333707235,0.9124733150350717
4,37,1.0,0.8416340235030778,0.914007900334245
4,38,1.0,0.8403361344537815,0.91324200913242
4,39,1.0,0.8416340235030778,0.914007900334245
4,40,1.0,0.8442211055276382,0.9155313351498637
4,41,1.0,0.836424957841484,0.9109274563820018
4,42,1.0,0.836424957841484,0.9109274563820018
4,43,1.0,0.8351153629713,0.9101502606562404
4,44,1.0,0.839035333707235,0.9124733150350717
4,45,1.0,0.8383838383838383,0.9120879120879121
4,46,1.0,0.8370786516853933,0.9113149847094802
4,47,1.0,0.8383838383838383,0.9120879120879121
4,48,1.0,0.8370786516853933,0.9113149847094802
4,49,1.0,0.8383838383838383,0.9120879120879121
4,50,1.0,0.8383838383838383,0.9120879120879121
5,1,1.0,0.6513545347467609,0.7888730385164051
5,2,1.0,0.6449704142011834,0.7841726618705036
5,3,1.0,0.6449704142011834,0.7841726618705036
5,4,1.0,0.6401425178147269,0.78059377262853
5,5,1.0,0.6449704142011834,0.7841726618705036
5,6,1.0,0.6401425178147269,0.78059377262853
5,7,1.0,0.6401425178147269,0.78059377262853
5,8,1.0,0.6369047619047619,0.7781818181818182
5,9,1.0,0.6433649289099526,0.7829848594087959
5,10,1.0,0.6377156454491374,0.7787867780602978
5,11,1.0,0.6377156454491374,0.7787867780602978
5,12,1.0,0.6336515513126492,0.7757487216946676
5,13,1.0,0.641755634638197,0.7817919075144509
5,14,1.0,0.6441681468324453,0.7835794022326251
5,15,1.0,0.641755634638197,0.7817919075144509
5,16,1.0,0.6409495548961425,0.7811934900542497
5,17,1.0,0.6433649289099526,0.7829848594087959
5,18,1.0,0.6441681468324453,0.7835794022326251
5,19,1.0,0.6377156454491374,0.7787867780602978
5,20,1.0,0.641755634638197,0.7817919075144509
5,21,1.0,0.6441681468324453,0.7835794022326251
5,22,1.0,0.641755634638197,0.7817919075144509
5,23,1.0,0.641755634638197,0.7817919075144509
5,24,1.0,0.6409495548961425,0.7811934900542497
5,25,1.0,0.6369047619047619,0.7781818181818182
5,26,1.0,0.641755634638197,0.7817919075144509
5,27,1.0,0.641755634638197,0.7817919075144509
5,28,1.0,0.6409495548961425,0.7811934900542497
5,29,1.0,0.6320191158900836,0.7745241581259151
5,30,1.0,0.6409495548961425,0.7811934900542497
5,31,1.0,0.6409495548961425,0.7811934900542497
5,32,1.0,0.641755634638197,0.7817919075144509
5,33,1.0,0.6433649289099526,0.7829848594087959
5,34,1.0,0.6320191158900836,0.7745241581259151
5,35,1.0,0.6369047619047619,0.7781818181818182
5,36,1.0,0.6369047619047619,0.7781818181818182
5,37,1.0,0.6377156454491374,0.7787867780602978
5,38,1.0,0.627920910724985,0.7714390872285609
5,39,1.0,0.6320191158900836,0.7745241581259151
5,40,1.0,0.6320191158900836,0.7745241581259151
5,41,1.0,0.6369047619047619,0.7781818181818182
5,42,1.0,0.6433649289099526,0.7829848594087959
5,43,1.0,0.6287425149700598,0.7720588235294117
5,44,1.0,0.6320191158900836,0.7745241581259151
5,45,1.0,0.6320191158900836,0.7745241581259151
5,46,1.0,0.6369047619047619,0.7781818181818182
5,47,1.0,0.6320191158900836,0.7745241581259151
5,48,1.0,0.6369047619047619,0.7781818181818182
5,49,1.0,0.6377156454491374,0.7787867780602978
5,50,1.0,0.6320191158900836,0.7745241581259151
