sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.028671551449506213,0.821917808219178,0.05541018931814685
1,2,1.0,0.821917808219178,0.9022556390977443
1,3,0.028671551449506213,0.821917808219178,0.05541018931814685
1,4,1.0,0.821917808219178,0.9022556390977443
1,5,0.028671551449506213,0.821917808219178,0.05541018931814685
2,1,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,2,0.38095238095238093,0.8484848484848485,0.5258215962441314
2,3,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,4,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,5,0.025106478368078906,0.8484848484848485,0.04876986718920096
3,1,0.030084235860409144,0.8658008658008658,0.05814798662596307
3,2,0.030084235860409144,0.8658008658008658,0.05814798662596307
3,3,0.030084235860409144,0.8658008658008658,0.05814798662596307
3,4,1.0,0.8658008658008658,0.9280742459396751
3,5,1.0,0.8658008658008658,0.9280742459396751
4,1,0.03020304568527919,0.8439716312056738,0.05831903945111492
4,2,0.975,0.8357142857142857,0.9
4,3,0.975,0.8357142857142857,0.9
4,4,0.975,0.8357142857142857,0.9
4,5,0.975,0.8357142857142857,0.9
5,1,0.98989898989899,0.8270042194092827,0.9011494252873564
5,2,0.029236276849642005,0.8270042194092827,0.05647601210200259
5,3,0.029236276849642005,0.8270042194092827,0.05647601210200259
5,4,,,
5,5,0.029236276849642005,0.8270042194092827,0.05647601210200259
