sample,sub_sample,result_id,test_precision,test_recall,test_f1
1,1,1,0.5,0.16666666666666666,0.25
1,1,2,0.5,0.16666666666666666,0.25
1,1,3,0.5,0.16666666666666666,0.25
1,1,4,0.5,0.16666666666666666,0.25
1,2,1,0.5,0.16666666666666666,0.25
1,2,2,0.5,0.16666666666666666,0.25
1,2,3,0.5,0.16666666666666666,0.25
1,2,4,0.5,0.16666666666666666,0.25
1,3,1,0.5,0.16666666666666666,0.25
1,3,2,0.5,0.16666666666666666,0.25
1,3,3,0.5,0.16666666666666666,0.25
1,3,4,0.5,0.16666666666666666,0.25
1,4,1,0.5,0.16666666666666666,0.25
1,4,2,0.5,0.16666666666666666,0.25
1,4,3,0.5,0.16666666666666666,0.25
1,4,4,0.5,0.16666666666666666,0.25
1,5,1,0.5,0.16666666666666666,0.25
1,5,2,0.5,0.16666666666666666,0.25
1,5,3,0.25,0.08695652173913043,0.12903225806451613
1,5,4,0.25,0.08695652173913043,0.12903225806451613
2,1,1,0.8,0.3076923076923077,0.4444444444444444
2,1,2,0.8,0.3076923076923077,0.4444444444444444
2,2,1,0.8,0.3076923076923077,0.4444444444444444
2,2,2,0.8,0.3076923076923077,0.4444444444444444
2,3,1,0.8,0.3076923076923077,0.4444444444444444
2,3,2,0.8,0.3076923076923077,0.4444444444444444
2,4,1,0.8,0.3076923076923077,0.4444444444444444
2,4,2,0.8,0.3076923076923077,0.4444444444444444
2,5,1,0.8,0.3076923076923077,0.4444444444444444
2,5,2,0.8,0.3076923076923077,0.4444444444444444
3,1,1,0.75,0.23076923076923078,0.3529411764705882
3,1,2,0.75,0.23076923076923078,0.3529411764705882
3,1,3,1.0,0.2962962962962963,0.45714285714285713
3,1,4,1.0,0.2962962962962963,0.45714285714285713
3,2,1,1.0,0.2962962962962963,0.45714285714285713
3,2,2,1.0,0.2962962962962963,0.45714285714285713
3,2,3,0.75,0.23076923076923078,0.3529411764705882
3,2,4,0.75,0.23076923076923078,0.3529411764705882
3,3,1,1.0,0.2962962962962963,0.45714285714285713
3,3,2,1.0,0.2962962962962963,0.45714285714285713
3,3,3,0.75,0.23076923076923078,0.3529411764705882
3,3,4,0.75,0.23076923076923078,0.3529411764705882
3,4,1,1.0,0.2962962962962963,0.45714285714285713
3,4,2,1.0,0.2962962962962963,0.45714285714285713
3,4,3,0.75,0.23076923076923078,0.3529411764705882
3,4,4,0.75,0.23076923076923078,0.3529411764705882
3,5,1,1.0,0.2962962962962963,0.45714285714285713
3,5,2,1.0,0.2962962962962963,0.45714285714285713
3,5,3,0.75,0.23076923076923078,0.3529411764705882
3,5,4,0.75,0.23076923076923078,0.3529411764705882
4,1,1,0.5,0.2222222222222222,0.30769230769230765
4,1,2,0.5,0.2222222222222222,0.30769230769230765
4,1,3,0.5,0.2222222222222222,0.30769230769230765
4,1,4,0.5,0.2222222222222222,0.30769230769230765
4,2,1,0.5,0.2222222222222222,0.30769230769230765
4,2,2,0.5,0.2222222222222222,0.30769230769230765
4,2,3,0.5,0.2222222222222222,0.30769230769230765
4,2,4,0.5,0.2222222222222222,0.30769230769230765
4,3,1,0.5,0.2222222222222222,0.30769230769230765
4,3,2,0.5,0.2222222222222222,0.30769230769230765
4,3,3,0.5,0.2222222222222222,0.30769230769230765
4,3,4,0.5,0.2222222222222222,0.30769230769230765
4,4,1,0.5,0.2222222222222222,0.30769230769230765
4,4,2,0.5,0.2222222222222222,0.30769230769230765
4,4,3,0.5,0.2222222222222222,0.30769230769230765
4,4,4,0.5,0.2222222222222222,0.30769230769230765
4,5,1,0.5,0.2222222222222222,0.30769230769230765
4,5,2,0.5,0.2222222222222222,0.30769230769230765
4,5,3,0.5,0.2222222222222222,0.30769230769230765
4,5,4,0.5,0.2222222222222222,0.30769230769230765
5,1,1,1.0,0.3870967741935484,0.5581395348837209
5,1,2,1.0,0.3870967741935484,0.5581395348837209
5,2,1,1.0,0.3870967741935484,0.5581395348837209
5,2,2,1.0,0.3870967741935484,0.5581395348837209
5,3,1,1.0,0.3870967741935484,0.5581395348837209
5,3,2,1.0,0.3870967741935484,0.5581395348837209
5,4,1,1.0,0.3870967741935484,0.5581395348837209
5,4,2,1.0,0.3870967741935484,0.5581395348837209
5,5,1,1.0,0.3870967741935484,0.5581395348837209
5,5,2,1.0,0.3870967741935484,0.5581395348837209
