sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,632,1.00,0.89,2170,275,2438,1,4,44,1.0,0.9263157894736842,0.9617486338797814
2,1168,1.00,0.98,2219,47,2259,0,6,66,0.9704142011834319,0.9969604863221885,0.9835082458770614
3,646,1.00,0.90,2152,247,2393,1,4,44,1.0,0.9323843416370107,0.9650092081031308
4,407,1.00,0.95,2216,113,2322,0,4,40,0.8390804597701149,0.9864864864864865,0.906832298136646
5,999,1.00,0.90,2182,234,2409,3,4,42,1.0,0.9310344827586207,0.9642857142857143
