sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.8223684210526315,0.6793478260869565,0.7440476190476192
1,2,,,
1,3,0.8223684210526315,0.6793478260869565,0.7440476190476192
1,4,,,
1,5,,,
2,1,0.7716049382716049,0.7082152974504249,0.7385524372230428
2,2,0.7716049382716049,0.7082152974504249,0.7385524372230428
2,3,0.7716049382716049,0.7082152974504249,0.7385524372230428
2,4,0.7716049382716049,0.7082152974504249,0.7385524372230428
2,5,,,
3,1,0.9290322580645162,0.8181818181818182,0.8700906344410877
3,2,0.9290322580645162,0.8181818181818182,0.8700906344410877
3,3,0.9290322580645162,0.8181818181818182,0.8700906344410877
3,4,0.9290322580645162,0.8181818181818182,0.8700906344410877
3,5,0.9290322580645162,0.8181818181818182,0.8700906344410877
4,1,,,
4,2,0.6971428571428572,0.7327327327327328,0.7144948755490483
4,3,,,
4,4,0.6971428571428572,0.7327327327327328,0.7144948755490483
4,5,0.6815642458100558,0.7327327327327328,0.7062228654124457
5,1,0.912,0.7284345047923323,0.8099467140319716
5,2,0.912,0.7284345047923323,0.8099467140319716
5,3,,,
5,4,0.912,0.7284345047923323,0.8099467140319716
5,5,,,
