sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,44,1.00,0.60,1472,973,2439,0,2,18,1.0,0.7475728155339806,0.8555555555555555
2,118,1.00,0.65,1481,785,2259,0,2,18,0.9772727272727273,0.7226890756302521,0.8309178743961353
3,676,1.00,0.59,1423,976,2394,0,2,18,1.0,0.7926267281105991,0.884318766066838
4,43,1.00,0.64,1499,830,2322,0,2,18,1.0,0.7744360902255639,0.8728813559322034
5,584,1.00,0.44,1067,1349,2412,0,1,7,1.0,0.6698564593301436,0.8022922636103152
