sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,639,1.00,0.83,2020,425,2439,0,4,44,1.0,0.8992805755395683,0.9469696969696969
2,788,1.00,0.90,2040,226,2259,0,8,94,0.974025974025974,0.9523809523809523,0.9630818619582664
3,1374,1.00,0.88,2116,283,2394,0,4,44,1.0,0.920863309352518,0.9588014981273408
4,346,1.00,0.84,1945,384,2322,0,4,42,0.9609375,0.9010989010989011,0.9300567107750473
5,1775,1.00,0.76,1831,585,2412,0,4,46,1.0,0.8560885608856088,0.9224652087475149
