sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.968503937007874,0.6721311475409836,0.7935483870967742
1,2,0.968503937007874,0.6721311475409836,0.7935483870967742
1,3,0.968503937007874,0.6721311475409836,0.7935483870967742
1,4,0.8223684210526315,0.6793478260869565,0.7440476190476192
2,1,0.9763779527559056,0.7045454545454546,0.8184818481848185
2,2,0.7716049382716049,0.7082152974504249,0.7385524372230428
2,3,0.9763779527559056,0.7045454545454546,0.8184818481848185
2,4,0.7716049382716049,0.7082152974504249,0.7385524372230428
3,1,0.9794520547945206,0.8148148148148148,0.8895800933125972
3,2,0.9794520547945206,0.8148148148148148,0.8895800933125972
3,3,0.959731543624161,0.8148148148148148,0.8813559322033897
3,4,0.9794520547945206,0.8148148148148148,0.8895800933125972
4,1,0.6815642458100558,0.7327327327327328,0.7062228654124457
4,2,0.9523809523809523,0.7250755287009063,0.823327615780446
4,3,0.9523809523809523,0.7250755287009063,0.823327615780446
4,4,0.9523809523809523,0.7250755287009063,0.823327615780446
5,1,1.0,0.7243589743589743,0.8401486988847583
5,2,0.940677966101695,0.7161290322580646,0.8131868131868133
5,3,1.0,0.7243589743589743,0.8401486988847583
5,4,1.0,0.7243589743589743,0.8401486988847583
