sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.9612903225806452,0.7602040816326531,0.8490028490028491
1,2,0.9612903225806452,0.7602040816326531,0.8490028490028491
1,3,0.9612903225806452,0.7602040816326531,0.8490028490028491
1,4,0.7419354838709677,0.8618266978922716,0.7973997833152763
2,1,0.9512195121951219,0.8125,0.8764044943820225
2,2,0.6750902527075813,0.9012048192771084,0.7719298245614035
2,3,0.9512195121951219,0.8125,0.8764044943820225
2,4,0.6750902527075813,0.9012048192771084,0.7719298245614035
3,1,0.9457831325301205,0.8602739726027397,0.9010043041606887
3,2,0.9457831325301205,0.8602739726027397,0.9010043041606887
3,3,0.9204545454545454,0.8756756756756757,0.8975069252077563
3,4,0.9457831325301205,0.8602739726027397,0.9010043041606887
4,1,0.6226415094339622,0.8776595744680851,0.7284768211920529
4,2,0.9230769230769231,0.8112676056338028,0.863568215892054
4,3,0.9230769230769231,0.8112676056338028,0.863568215892054
4,4,0.9230769230769231,0.8112676056338028,0.863568215892054
5,1,0.9647887323943662,0.8154761904761905,0.8838709677419355
5,2,0.9150326797385621,0.8259587020648967,0.8682170542635659
5,3,0.9647887323943662,0.8154761904761905,0.8838709677419355
5,4,0.9647887323943662,0.8154761904761905,0.8838709677419355
